user_id,first_touch,registration_date,kyc_date,activation_date,first_trade_date,total_revenue_30d,arpu_segment,cohort_month,retention_7d,retention_14d,retention_30d
U000047,Referral,,,,,0.00,Low,,0,0,0
U000048,Organic Search,2025-12-26,2025-12-30,2025-12-31,2026-01-10,297.28,Low,2025-12,0,0,0
U000049,Referral,2026-01-24,2026-01-30,2026-02-06,2026-02-17,240.86,Low,2026-01,0,0,0
U000050,Organic Search,,,,,0.00,Low,,0,0,0
U000051,Google Ads,,,,,0.00,Low,,0,0,0
U000052,Google Ads,2026-02-01,2026-02-08,,,0.00,Low,2026-02,0,0,0
U000053,Google Ads,,,,,0.00,Low,,0,0,0
U000054,SMS,,,,,0.00,Low,,0,0,0
U000055,Google Ads,,,,,0.00,Low,,0,0,0
U000056,Meta (FB/IG),2026-02-01,2026-02-05,,,0.00,Low,2026-02,0,0,0
U000057,Organic Search,2026-01-28,,,,0.00,Low,2026-01,0,0,0
U000058,Meta (FB/IG),2026-02-10,,,,0.00,Low,2026-02,1,1,0
U000059,SMS,,,,,0.00,Low,,1,1,0
U000060,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000061,Google Ads,,,,,0.00,Low,,0,0,0
U000062,Organic Search,,,,,0.00,Low,,0,0,0
U000063,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000064,Referral,2025-12-25,2026-01-03,2026-01-09,2026-01-12,235.53,Low,2025-12,0,0,0
U000065,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000066,Google Ads,,,,,0.00,Low,,0,0,0
U000067,Organic Search,,,,,0.00,Low,,0,0,0
U000068,Email,,,,,0.00,Low,,0,0,0
U000069,LinkedIn Ads,,,,,0.00,Low,,0,0,0
U000070,Google Ads,2025-11-27,2025-11-30,2025-12-07,2025-12-09,729.39,Low,2025-11,0,0,0
U000071,Email,,,,,0.00,Low,,0,0,0
U000072,Meta (FB/IG),2026-02-07,,,,0.00,Low,2026-02,1,0,0
U000073,Google Ads,2025-12-04,2025-12-08,2025-12-13,,0.00,Low,2025-12,1,1,1
U000074,Google Ads,,,,,0.00,Low,,0,0,0
U000075,Google Ads,2026-02-04,,,,0.00,Low,2026-02,1,1,1
U000076,SMS,,,,,0.00,Low,,0,0,0
U000077,Referral,2025-11-29,2025-12-06,2025-12-13,2025-12-22,141.54,Low,2025-11,1,1,1
U000078,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000079,LinkedIn Ads,,,,,0.00,Low,,0,0,0
U000080,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000081,SMS,2026-01-20,,,,0.00,Low,2026-01,0,0,0
U000082,Email,2026-02-06,,,,0.00,Low,2026-02,0,0,0
U000083,Organic Search,,,,,0.00,Low,,0,0,0
U000084,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000085,Push Notification (WebEngage),,,,,0.00,Low,,1,1,0
U000086,Meta (FB/IG),,,,,0.00,Low,,1,1,1
U000087,Meta (FB/IG),2025-12-06,2025-12-14,,,0.00,Low,2025-12,0,0,0
U000088,Push Notification (WebEngage),2026-01-10,2026-01-12,,,0.00,Low,2026-01,0,0,0
U000089,Google Ads,,,,,0.00,Low,,0,0,0
U000090,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000091,Push Notification (WebEngage),2025-12-20,2025-12-24,,,0.00,Low,2025-12,0,0,0
U000092,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000093,Referral,2025-12-01,,,,0.00,Low,2025-12,1,0,0
U000094,SMS,,,,,0.00,Low,,0,0,0
U000095,Email,2026-01-09,,,,0.00,Low,2026-01,0,0,0
U000096,Organic Search,2026-01-01,2026-01-04,2026-01-11,,0.00,Low,2026-01,0,0,0
U000097,SMS,,,,,0.00,Low,,0,0,0
U000098,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000099,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000100,LinkedIn Ads,2026-01-01,,,,0.00,Low,2026-01,1,1,1
U000101,Referral,,,,,0.00,Low,,0,0,0
U000102,Meta (FB/IG),2025-12-02,2025-12-10,,,0.00,Low,2025-12,1,0,0
U000103,Google Ads,,,,,0.00,Low,,0,0,0
U000104,Organic Search,,,,,0.00,Low,,0,0,0
U000105,LinkedIn Ads,,,,,0.00,Low,,0,0,0
U000106,Push Notification (WebEngage),,,,,0.00,Low,,1,1,0
U000107,Organic Search,2026-01-23,2026-01-31,2026-01-31,,0.00,Low,2026-01,1,1,1
U000108,Google Ads,2026-01-11,2026-01-16,,,0.00,Low,2026-01,0,0,0
U000109,Organic Search,,,,,0.00,Low,,0,0,0
U000110,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000111,Organic Search,,,,,0.00,Low,,0,0,0
U000112,Organic Search,2025-12-12,2025-12-14,,,0.00,Low,2025-12,0,0,0
U000113,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000114,Push Notification (WebEngage),2026-02-02,,,,0.00,Low,2026-02,0,0,0
U000115,Email,,,,,0.00,Low,,0,0,0
U000116,Referral,,,,,0.00,Low,,0,0,0
U000117,Google Ads,,,,,0.00,Low,,0,0,0
U000118,Google Ads,,,,,0.00,Low,,0,0,0
U000119,Google Ads,,,,,0.00,Low,,0,0,0
U000120,Email,2026-01-08,2026-01-15,2026-01-25,,0.00,Low,2026-01,1,1,1
U000121,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000122,LinkedIn Ads,2026-01-11,,,,0.00,Low,2026-01,1,1,0
U000123,SMS,,,,,0.00,Low,,0,0,0
U000124,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000125,Google Ads,2026-01-13,2026-01-21,,,0.00,Low,2026-01,0,0,0
U000126,Push Notification (WebEngage),2025-12-14,,,,0.00,Low,2025-12,0,0,0
U000127,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000128,Organic Search,2025-12-03,2025-12-07,2025-12-11,,585.20,Low,2025-12,1,1,1
U000129,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000130,Email,2025-11-23,2025-12-02,,,0.00,Low,2025-11,1,0,0
U000131,Google Ads,2026-02-09,2026-02-13,,,0.00,Low,2026-02,0,0,0
U000132,SMS,2026-02-02,2026-02-04,,,0.00,Low,2026-02,1,1,1
U000133,Email,,,,,0.00,Low,,0,0,0
U000134,Referral,,,,,0.00,Low,,0,0,0
U000135,SMS,2026-01-29,2026-02-03,,,0.00,Low,2026-01,0,0,0
U000136,Referral,,,,,0.00,Low,,0,0,0
U000137,Organic Search,,,,,0.00,Low,,0,0,0
U000138,Referral,,,,,0.00,Low,,0,0,0
U000139,SMS,,,,,0.00,Low,,0,0,0
U000140,Meta (FB/IG),2026-01-08,,,,0.00,Low,2026-01,1,0,0
U000141,Push Notification (WebEngage),2025-12-10,2025-12-12,,,0.00,Low,2025-12,0,0,0
U000142,Email,2025-12-15,2025-12-21,,,0.00,Low,2025-12,0,0,0
U000143,Organic Search,,,,,0.00,Low,,0,0,0
U000144,Push Notification (WebEngage),,,,,0.00,Low,,1,0,0
U000145,Google Ads,,,,,0.00,Low,,0,0,0
U000146,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000147,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000148,SMS,,,,,0.00,Low,,0,0,0
U000149,Referral,,,,,0.00,Low,,0,0,0
U000150,LinkedIn Ads,,,,,0.00,Low,,0,0,0
U000151,Organic Search,2025-12-06,2025-12-10,,,0.00,Low,2025-12,1,1,1
U000152,Email,2025-12-10,2025-12-17,,,0.00,Low,2025-12,0,0,0
U000153,LinkedIn Ads,,,,,0.00,Low,,0,0,0
U000154,LinkedIn Ads,2025-11-23,,,,0.00,Low,2025-11,1,1,1
U000155,Meta (FB/IG),,,,,0.00,Low,,1,1,0
U000156,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000157,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000158,Meta (FB/IG),2026-02-02,2026-02-07,2026-02-10,2026-02-17,235.86,Low,2026-02,0,0,0
U000159,Organic Search,,,,,0.00,Low,,0,0,0
U000160,Referral,2025-12-02,2025-12-08,2025-12-08,2025-12-23,308.32,Low,2025-12,1,1,1
U000161,Google Ads,,,,,0.00,Low,,0,0,0
U000162,Push Notification (WebEngage),,,,,0.00,Low,,1,0,0
U000163,Meta (FB/IG),2025-12-07,2025-12-16,,,0.00,Low,2025-12,0,0,0
U000164,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000165,Google Ads,2026-01-02,2026-01-06,,,0.00,Low,2026-01,0,0,0
U000166,Organic Search,2026-01-30,2026-02-08,,,0.00,Low,2026-01,0,0,0
U000167,Google Ads,2026-01-15,2026-01-24,2026-01-26,2026-02-15,175.04,Low,2026-01,1,1,0
U000168,Organic Search,,,,,0.00,Low,,0,0,0
U000169,Organic Search,2026-01-15,2026-01-21,2026-01-30,,0.00,Low,2026-01,0,0,0
U000170,Google Ads,2025-11-30,,,,0.00,Low,2025-11,0,0,0
U000171,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000172,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000173,Meta (FB/IG),2026-01-11,2026-01-12,2026-01-14,,104.44,Low,2026-01,0,0,0
U000174,Organic Search,,,,,0.00,Low,,0,0,0
U000175,Email,,,,,0.00,Low,,0,0,0
U000176,Organic Search,2025-12-17,2025-12-20,2025-12-30,,0.00,Low,2025-12,1,1,1
U000177,Organic Search,,,,,0.00,Low,,0,0,0
U000178,Organic Search,,,,,0.00,Low,,0,0,0
U000179,Google Ads,,,,,0.00,Low,,0,0,0
U000180,Email,2026-01-14,,,,0.00,Low,2026-01,0,0,0
U000181,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000182,Organic Search,2025-12-28,2025-12-30,2026-01-07,2026-01-19,518.75,Low,2025-12,0,0,0
U000183,Google Ads,2026-02-09,2026-02-10,,,0.00,Low,2026-02,0,0,0
U000184,Referral,2026-01-08,2026-01-12,2026-01-16,,0.00,Low,2026-01,0,0,0
U000185,Organic Search,2025-12-14,2025-12-22,2025-12-22,,0.00,Low,2025-12,0,0,0
U000186,Organic Search,,,,,0.00,Low,,0,0,0
U000187,Meta (FB/IG),2025-11-26,2025-12-02,,,0.00,Low,2025-11,1,0,0
U000188,SMS,,,,,0.00,Low,,0,0,0
U000189,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000190,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000191,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000192,Email,,,,,0.00,Low,,0,0,0
U000193,Email,,,,,0.00,Low,,0,0,0
U000194,Email,,,,,0.00,Low,,0,0,0
U000195,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000196,Organic Search,,,,,0.00,Low,,1,1,0
U000197,Referral,2025-12-07,2025-12-08,2025-12-16,,10.82,Low,2025-12,0,0,0
U000198,Push Notification (WebEngage),,,,,0.00,Low,,1,0,0
U000199,Referral,,,,,0.00,Low,,0,0,0
U000200,Organic Search,,,,,0.00,Low,,0,0,0
U000201,Google Ads,2026-02-07,2026-02-15,,,0.00,Low,2026-02,1,0,0
U000202,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000203,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000204,Push Notification (WebEngage),2026-02-06,,,,0.00,Low,2026-02,0,0,0
U000205,Google Ads,2025-11-29,2025-12-03,,,0.00,Low,2025-11,0,0,0
U000206,Referral,2026-01-21,2026-01-24,,,0.00,Low,2026-01,0,0,0
U000207,Meta (FB/IG),2025-12-29,2026-01-05,2026-01-06,2026-01-15,436.14,Low,2025-12,1,1,1
U000208,Google Ads,,,,,0.00,Low,,1,1,1
U000209,Organic Search,,,,,0.00,Low,,0,0,0
U000210,SMS,,,,,0.00,Low,,0,0,0
U000211,Google Ads,2025-12-05,2025-12-12,2025-12-13,,55.42,Low,2025-12,0,0,0
U000212,Referral,2026-01-06,2026-01-10,2026-01-20,2026-01-31,352.44,Low,2026-01,0,0,0
U000213,Google Ads,,,,,0.00,Low,,0,0,0
U000214,Referral,2025-12-10,2025-12-11,,,0.00,Low,2025-12,0,0,0
U000215,Google Ads,,,,,0.00,Low,,0,0,0
U000216,Push Notification (WebEngage),,,,,0.00,Low,,1,1,0
U000217,Google Ads,,,,,0.00,Low,,0,0,0
U000218,Google Ads,2026-01-09,2026-01-13,2026-01-15,,0.00,Low,2026-01,0,0,0
U000219,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000220,Organic Search,2025-12-06,2025-12-14,2025-12-14,2026-01-02,1008.45,Medium,2025-12,1,1,0
U000221,Push Notification (WebEngage),2025-12-10,,,,0.00,Low,2025-12,1,0,0
U000222,Google Ads,2026-02-05,,,,0.00,Low,2026-02,1,0,0
U000223,SMS,,,,,0.00,Low,,0,0,0
U000224,Referral,2026-01-14,2026-01-22,2026-01-31,,0.00,Low,2026-01,0,0,0
U000225,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000226,Meta (FB/IG),2025-12-13,,,,0.00,Low,2025-12,0,0,0
U000227,Organic Search,,,,,0.00,Low,,0,0,0
U000228,SMS,,,,,0.00,Low,,0,0,0
U000229,Email,,,,,0.00,Low,,0,0,0
U000230,Push Notification (WebEngage),,,,,0.00,Low,,1,1,1
U000231,Organic Search,2025-12-01,2025-12-05,,,0.00,Low,2025-12,0,0,0
U000232,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000233,Meta (FB/IG),2025-12-15,,,,0.00,Low,2025-12,0,0,0
U000234,Google Ads,2026-02-08,,,,0.00,Low,2026-02,0,0,0
U000235,Push Notification (WebEngage),2025-12-03,2025-12-09,2025-12-16,,0.00,Low,2025-12,1,1,0
U000236,Google Ads,,,,,0.00,Low,,0,0,0
U000237,Email,2026-01-12,,,,0.00,Low,2026-01,0,0,0
U000238,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000239,Organic Search,2026-01-30,2026-01-31,,,0.00,Low,2026-01,0,0,0
U000240,SMS,2026-01-03,2026-01-11,,,0.00,Low,2026-01,0,0,0
U000241,Organic Search,,,,,0.00,Low,,0,0,0
U000242,Meta (FB/IG),2026-01-01,2026-01-10,2026-01-14,,0.00,Low,2026-01,1,1,1
U000243,Referral,,,,,0.00,Low,,0,0,0
U000244,Organic Search,2026-01-16,2026-01-22,2026-02-01,,0.00,Low,2026-01,1,1,1
U000245,Google Ads,2025-12-28,,,,0.00,Low,2025-12,0,0,0
U000246,Email,,,,,0.00,Low,,0,0,0
U000247,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000248,Google Ads,2025-12-08,2025-12-12,2025-12-20,,0.00,Low,2025-12,1,0,0
U000249,Email,,,,,0.00,Low,,0,0,0
U000250,LinkedIn Ads,,,,,0.00,Low,,1,1,0
U000251,LinkedIn Ads,,,,,0.00,Low,,0,0,0
U000252,Organic Search,2025-11-25,2025-11-30,,,0.00,Low,2025-11,1,1,1
U000253,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000254,Organic Search,,,,,0.00,Low,,0,0,0
U000255,SMS,,,,,0.00,Low,,0,0,0
U000256,Google Ads,2025-12-16,2025-12-17,,,0.00,Low,2025-12,1,0,0
U000257,Organic Search,2026-01-23,,,,0.00,Low,2026-01,0,0,0
U000258,SMS,2026-01-18,,,,0.00,Low,2026-01,1,0,0
U000259,Google Ads,,,,,0.00,Low,,0,0,0
U000260,Push Notification (WebEngage),2026-01-24,2026-01-26,,,0.00,Low,2026-01,0,0,0
U000261,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000262,Referral,2026-01-27,,,,0.00,Low,2026-01,1,0,0
U000263,Meta (FB/IG),2026-01-07,,,,0.00,Low,2026-01,1,1,0
U000264,SMS,,,,,0.00,Low,,0,0,0
U000265,Google Ads,,,,,0.00,Low,,0,0,0
U000266,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000267,Google Ads,,,,,0.00,Low,,0,0,0
U000268,Organic Search,2026-02-10,2026-02-17,2026-02-17,2026-02-17,438.24,Low,2026-02,0,0,0
U000269,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000270,Google Ads,2026-01-16,2026-01-20,2026-01-29,,0.00,Low,2026-01,0,0,0
U000271,Email,,,,,0.00,Low,,0,0,0
U000272,Referral,,,,,0.00,Low,,0,0,0
U000273,Organic Search,,,,,0.00,Low,,1,1,0
U000274,SMS,,,,,0.00,Low,,0,0,0
U000275,Organic Search,,,,,0.00,Low,,0,0,0
U000276,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000277,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000278,Meta (FB/IG),,,,,0.00,Low,,1,1,1
U000279,Referral,2026-01-26,2026-02-03,,,0.00,Low,2026-01,0,0,0
U000280,Meta (FB/IG),2026-02-12,,,,0.00,Low,2026-02,0,0,0
U000281,Push Notification (WebEngage),2025-12-29,,,,0.00,Low,2025-12,1,0,0
U000282,Google Ads,,,,,0.00,Low,,1,0,0
U000283,SMS,2026-01-26,2026-01-31,,,0.00,Low,2026-01,0,0,0
U000284,SMS,,,,,0.00,Low,,0,0,0
U000285,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000286,LinkedIn Ads,2025-12-15,2025-12-22,,,0.00,Low,2025-12,0,0,0
U000287,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000288,Google Ads,,,,,0.00,Low,,0,0,0
U000289,Meta (FB/IG),2026-01-21,,,,0.00,Low,2026-01,0,0,0
U000290,Email,,,,,0.00,Low,,1,0,0
U000291,Referral,2025-12-19,2025-12-22,2025-12-29,2026-01-18,293.82,Low,2025-12,0,0,0
U000292,Google Ads,,,,,0.00,Low,,0,0,0
U000293,Organic Search,,,,,0.00,Low,,0,0,0
U000294,Google Ads,,,,,0.00,Low,,0,0,0
U000295,Organic Search,2026-01-01,,,,0.00,Low,2026-01,0,0,0
U000296,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000297,Organic Search,,,,,0.00,Low,,0,0,0
U000298,Referral,2026-02-10,2026-02-17,2026-02-17,2026-02-17,448.48,Low,2026-02,1,1,1
U000299,Push Notification (WebEngage),,,,,0.00,Low,,1,0,0
U000300,Push Notification (WebEngage),2025-12-30,2026-01-04,,,0.00,Low,2025-12,0,0,0
U000301,SMS,,,,,0.00,Low,,1,1,1
U000302,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000303,Organic Search,2026-02-01,,,,0.00,Low,2026-02,1,1,1
U000304,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000305,Push Notification (WebEngage),2026-01-07,2026-01-11,,,0.00,Low,2026-01,0,0,0
U000306,Referral,2025-12-29,,,,0.00,Low,2025-12,0,0,0
U000307,SMS,2025-11-28,2025-12-01,,,0.00,Low,2025-11,1,1,1
U000308,Email,,,,,0.00,Low,,1,0,0
U000309,Google Ads,,,,,0.00,Low,,0,0,0
U000310,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000311,Organic Search,,,,,0.00,Low,,0,0,0
U000312,Email,2025-11-23,,,,0.00,Low,2025-11,1,0,0
U000313,Meta (FB/IG),2025-12-09,2025-12-14,2025-12-23,2026-01-07,342.76,Low,2025-12,0,0,0
U000314,Email,,,,,0.00,Low,,0,0,0
U000315,Referral,,,,,0.00,Low,,0,0,0
U000316,Email,,,,,0.00,Low,,0,0,0
U000317,SMS,,,,,0.00,Low,,0,0,0
U000318,Google Ads,,,,,0.00,Low,,1,1,0
U000319,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000320,Google Ads,,,,,0.00,Low,,0,0,0
U000321,Organic Search,,,,,0.00,Low,,0,0,0
U000322,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000323,Meta (FB/IG),,,,,0.00,Low,,1,1,1
U000324,Google Ads,2025-12-07,,,,0.00,Low,2025-12,0,0,0
U000325,Google Ads,2025-12-30,2025-12-31,2026-01-10,,0.00,Low,2025-12,1,1,0
U000326,Push Notification (WebEngage),2026-01-28,2026-02-04,,,0.00,Low,2026-01,0,0,0
U000327,Google Ads,,,,,0.00,Low,,0,0,0
U000328,Google Ads,,,,,0.00,Low,,0,0,0
U000329,Organic Search,,,,,0.00,Low,,0,0,0
U000330,Google Ads,2026-01-31,2026-02-02,2026-02-09,2026-02-17,97.66,Low,2026-01,0,0,0
U000331,SMS,2025-12-27,,,,0.00,Low,2025-12,1,0,0
U000332,Organic Search,2026-01-13,,,,0.00,Low,2026-01,1,1,0
U000333,Organic Search,2026-01-15,,,,0.00,Low,2026-01,0,0,0
U000334,LinkedIn Ads,2025-12-21,2025-12-25,,,0.00,Low,2025-12,0,0,0
U000335,SMS,,,,,0.00,Low,,0,0,0
U000336,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000337,Meta (FB/IG),,,,,0.00,Low,,1,1,1
U000338,Google Ads,2026-02-04,,,,0.00,Low,2026-02,0,0,0
U000339,Organic Search,2026-01-17,,,,0.00,Low,2026-01,0,0,0
U000340,SMS,,,,,0.00,Low,,0,0,0
U000341,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000342,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000343,Email,,,,,0.00,Low,,0,0,0
U000344,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000345,Google Ads,,,,,0.00,Low,,0,0,0
U000346,Meta (FB/IG),2025-11-28,,,,0.00,Low,2025-11,0,0,0
U000347,Google Ads,,,,,0.00,Low,,0,0,0
U000348,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000349,LinkedIn Ads,,,,,0.00,Low,,0,0,0
U000350,SMS,,,,,0.00,Low,,0,0,0
U000351,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000352,Google Ads,2026-01-12,2026-01-13,,,0.00,Low,2026-01,1,0,0
U000353,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000354,Organic Search,,,,,0.00,Low,,0,0,0
U000355,Referral,2025-12-16,,,,0.00,Low,2025-12,1,1,1
U000356,Google Ads,,,,,0.00,Low,,1,1,0
U000357,Organic Search,,,,,0.00,Low,,0,0,0
U000358,Push Notification (WebEngage),,,,,0.00,Low,,0,0,0
U000359,Referral,2025-12-21,2025-12-23,,,0.00,Low,2025-12,0,0,0
U000360,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000361,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000362,Google Ads,2025-11-29,2025-12-02,2025-12-11,,0.00,Low,2025-11,1,1,1
U000363,Organic Search,,,,,0.00,Low,,0,0,0
U000364,Email,,,,,0.00,Low,,0,0,0
U000365,SMS,,,,,0.00,Low,,0,0,0
U000366,Google Ads,2026-02-11,2026-02-14,2026-02-17,2026-02-17,160.91,Low,2026-02,1,0,0
U000367,Email,2025-12-07,2025-12-15,,,0.00,Low,2025-12,0,0,0
U000368,Google Ads,2026-01-15,2026-01-21,2026-01-31,2026-02-08,78.47,Low,2026-01,1,1,1
U000369,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000370,SMS,2026-02-03,2026-02-10,,,0.00,Low,2026-02,0,0,0
U000371,Referral,,,,,0.00,Low,,1,1,1
U000372,Google Ads,,,,,0.00,Low,,1,0,0
U000373,Meta (FB/IG),2025-11-29,2025-12-02,2025-12-08,,396.06,Low,2025-11,0,0,0
U000374,Organic Search,,,,,0.00,Low,,0,0,0
U000375,Meta (FB/IG),,,,,0.00,Low,,0,0,0
U000376,Meta (FB/IG),2026-01-27,2026-02-04,2026-02-14,,0.00,Low,2026-01,1,1,0
U000377,Organic Search,,,,,0.00,Low,,0,0,0
U000378,Google Ads,2026-01-21,,,,0.00,Low,2026-01,1,1,1
U000379,Google Ads,2025-11-25,2025-11-30,,,0.00,Low,2025-11,0,0,0
U000380,Google Ads,,,,,0.00,Low,,0,0,0
U000381,Referral,2026-01-25,2026-02-02,2026-02-12,2026-02-17,201.59,Low,2026-01,1,0,0
U000382,Google Ads,,,,,0.00,Low,,1,0,0
U000383,Google Ads,2026-02-01,2026-02-05,2026-02-06,,488.12,Low,2026-02,0,0,0
U000384,Organic Search,2025-12-15,2025-12-24,2026-01-02,2026-01-22,831.94,Low,2025-12,0,0,0
